subject,subcat,coupling,tapsection,mx,sx
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,1,0.9904683130333333,0.06700550975050927
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,2,1.0127941516333334,0.09702798086337742
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,3,0.9948801741379311,0.058754852990521064
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,4,0.9805334179259257,0.04787378248232148
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,5,0.9871355578421053,0.0684093664561066
PARTICIPANT_kura-A2_2020-11-05_09h19.11.832.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,0,1.121244944433333,0.3943931772044489
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,1,0.9888736666000001,0.06262986008737254
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,2,0.9914818888666667,0.05931534568255221
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,3,0.9922049444,0.07157134697314659
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,4,0.9889047126896552,0.048931556758419543
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,5,1.0033728702777778,0.05317569171673031
PARTICIPANT_kura-A2_2020-11-25_15h04.36.125.csv,regular,medium,6,0.9670694446666667,0.06622045702603943
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,0,1.3373808938666667,0.5494471204558635
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,1,1.2274009154285714,0.41796571307725383
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,2,1.1198258705833335,0.31553014809051133
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,3,1.039239866736842,0.11868418928465244
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,4,1.0749833494285714,0.11403836828863333
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,5,0.9214178113333333,0.09898576577749567
PARTICIPANT_kura-B1_2020-10-05_07h49.31.729.csv,regular,medium,6,nan,nan
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,0,0.9832799077666667,0.21069463133467806
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,1,0.998575343,0.0874761348854465
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,2,0.9922746644666666,0.046233883258174485
PARTICIPANT_kura-B2_2020-09-07_12h08.36.208.csv,regular,medium,3,1.0015128263666666,0.06737588208285757
